,labels,hemisphere,values
0,bankssts,L,-0.964255
1,caudalanteriorcingulate,L,-0.65318763
2,caudalmiddlefrontal,L,-1.9033561
3,cuneus,L,-0.6757025
4,entorhinal,L,0.10036398
5,fusiform,L,-0.75397307
6,inferiorparietal,L,-1.2574193
7,inferiortemporal,L,-0.5743587
8,isthmuscingulate,L,-0.8038205
9,lateraloccipital,L,-1.218684
10,lateralorbitofrontal,L,-1.0467825
11,lingual,L,-0.69047517
12,medialorbitofrontal,L,-0.75285983
13,middletemporal,L,-1.044266
14,parahippocampal,L,-0.58829397
15,paracentral,L,-0.8804812
16,parsopercularis,L,-0.945448
17,parsorbitalis,L,-1.8066715
18,parstriangularis,L,-2.0550926
19,pericalcarine,L,-0.19932772
20,postcentral,L,-0.7465478
21,posteriorcingulate,L,-0.9477851
22,precentral,L,-0.87801254
23,precuneus,L,-1.6598358
24,rostralanteriorcingulate,L,-1.0942351
25,rostralmiddlefrontal,L,-1.9701325
26,superiorfrontal,L,-1.3856398
27,superiorparietal,L,-1.1552229
28,superiortemporal,L,-0.6065033
29,supramarginal,L,-0.8197829
30,frontalpole,L,-1.118576
31,temporalpole,L,-0.94320613
32,transversetemporal,L,-0.65554506
33,insula,L,-0.9882891
41,bankssts,R,-1.3223902
42,caudalanteriorcingulate,R,-0.9819199
43,caudalmiddlefrontal,R,-1.0691531
44,cuneus,R,-1.0520056
45,entorhinal,R,-0.8082395
46,fusiform,R,-0.8772814
47,inferiorparietal,R,-1.1851343
48,inferiortemporal,R,-1.0241772
49,isthmuscingulate,R,-0.9939833
50,lateraloccipital,R,-0.92935115
51,lateralorbitofrontal,R,-1.2527763
52,lingual,R,-0.6195543
53,medialorbitofrontal,R,-1.0821595
54,middletemporal,R,-0.73133385
55,parahippocampal,R,-0.47703198
56,paracentral,R,-0.7948398
57,parsopercularis,R,-1.3949283
58,parsorbitalis,R,-1.4112059
59,parstriangularis,R,-1.0731574
60,pericalcarine,R,-0.3241952
61,postcentral,R,-0.5538363
62,posteriorcingulate,R,-0.9013628
63,precentral,R,-0.7640341
64,precuneus,R,-1.4468206
65,rostralanteriorcingulate,R,-1.078405
66,rostralmiddlefrontal,R,-1.5439124
67,superiorfrontal,R,-1.0362078
68,superiorparietal,R,-1.4598017
69,superiortemporal,R,-0.83361113
70,supramarginal,R,-0.8718414
71,frontalpole,R,-1.4191108
72,temporalpole,R,-2.0050828
73,transversetemporal,R,-0.4942821
74,insula,R,-0.39687872
