region,partial_r
Left banks of superior temporal sulcus,-0.063
Left caudal anterior cingulate cortex,-0.009
Left caudal middle frontal gyrus,-0.102
Left cuneus,-0.031
Left entorhinal cortex,-0.041
Left fusiform gyrus,-0.087
Left inferior parietal cortex,-0.062
Left inferior temporal gyrus,-0.097
Left isthmus cingulate cortex,-0.098
Left lateral occipital cortex,-0.064
Left lateral orbitofrontal cortex,-0.097
Left lingual gyrus,-0.039
Left medial orbitofrontal cortex,-0.071
Left middle temporal gyrus,-0.113
Left parahippocampal gyrus,-0.024
Left paracentral lobule,-0.078
Left pars opercularis of inferior frontal gyrus,-0.096
Left pars orbitalis of inferior frontal gyrus,-0.094
Left pars triangularis of inferior frontal gyrus,-0.09
Left pericalcarine cortex,-0.027
Left postcentral gyrus,-0.042
Left posterior cingulate cortex,-0.079
Left precentral gyrus,-0.076
Left precuneus,-0.09
Left rostral anterior cingulate cortex,-0.062
Left rostral middle frontal gyrus,-0.096
Left superior frontal gyrus,-0.166
Left superior parietal cortex,-0.054
Left superior temporal gyrus,-0.112
Left supramarginal gyrus,-0.103
Left frontal pole,-0.095
Left temporal pole,-0.057
Left transverse temporal gyrus,-0.086
Left insula,-0.072
Right banks of superior temporal sulcus,-0.094
Right caudal anterior cingulate cortex,-0.069
Right caudal middle frontal gyrus,-0.108
Right cuneus,-0.069
Right entorhinal cortex,-0.035
Right fusiform gyrus,-0.094
Right inferior parietal cortex,-0.096
Right inferior temporal gyrus,-0.113
Right isthmus cingulate cortex,-0.078
Right lateral occipital cortex,-0.054
Right lateral orbitofrontal cortex,-0.095
Right lingual gyrus,-0.035
Right medial orbitofrontal cortex,-0.084
Right middle temporal gyrus,-0.108
Right parahippocampal gyrus,-0.064
Right paracentral lobule,-0.077
Right pars opercularis of inferior frontal gyrus,-0.081
Right pars orbitalis of inferior frontal gyrus,-0.071
Right pars triangularis of inferior frontal gyrus,-0.113
Right pericalcarine cortex,-0.012
Right postcentral gyrus,-0.056
Right posterior cingulate cortex,-0.081
Right precentral gyrus,-0.075
Right precuneus,-0.083
Right rostral anterior cingulate cortex,-0.044
Right rostral middle frontal gyrus,-0.105
Right superior frontal gyrus,-0.148
Right superior parietal cortex,-0.054
Right superior temporal gyrus,-0.106
Right supramarginal gyrus,-0.094
Right frontal pole,-0.043
Right temporal pole,-0.061
Right transverse temporal gyrus,-0.04
Right insula,-0.083
Left hemisphere,-0.126
Right hemisphere,-0.126
