,action,autobiographical_memory,cognitive_control,emotion,eye_movements,inhibition,language,motor,pain,reading,social_cognition,visual_attention,visual_perception,visuospatial,working_memory
bankssts,0.8826229231502356,-0.19593866410991942,-0.7587169191749384,-0.18861482825186365,0.5716626054985781,-0.8761696607292369,8.490124272576088,-0.9229041790251185,-1.5479629066211045,6.354338894710197,0.8275592573031868,0.13485071428437165,-0.08597203334665045,-0.6651365247589012,-0.6337493365353408
caudalanteriorcingulate,0.2268215765636627,0.027287980087077085,1.4376273730424596,0.7295048197209112,-0.8579363302467654,1.9164347282061163,-1.3009115695313493,0.9733649733507702,6.496036406557732,-0.5728627343004923,0.0005594075646875257,-0.6565404410744154,-0.07454919458612243,-0.7006725348251864,-0.19560691488853033
caudalmiddlefrontal,0.7707727801169425,1.0582834853775014,1.1957941300077672,-0.4866042516503482,0.8006111524614579,-0.457922572048191,1.7941925793559337,0.8812450982029062,-0.8032590398765646,1.1567771816392027,0.04930127586318416,0.16140464938607121,-0.06397174851177441,0.39366369011948626,2.393662361764907
cuneus,-0.15219996314190257,0.9028475710928932,-0.24413886502148216,-0.11956489748468792,0.7811656086640653,-0.3476515199447045,0.004358123259672893,-0.0361759889365555,-0.3252715617784685,0.34044878757165437,0.20447084501905913,0.9076386024936006,0.532696975874752,0.38183223212157696,-0.3518983868418328
entorhinal,-0.46761842529671693,1.2058580706792321,-0.5913613775139411,1.1249582896611618,-0.39995601146232973,-0.8647313481980899,-0.4326681634100109,-2.064812694520496,0.4557872727582,-0.5052868522279226,-0.44108053787831303,-0.2927654409017791,-0.25955947493661174,0.8093856628781508,-0.5276812823604203
fusiform,0.3034741572225926,0.48822880708583505,-0.6044690539522622,-0.16634155709431783,0.22907285115798037,-0.912604795938887,1.6882319713388352,-1.1958146664308662,-0.8462496483134764,3.510721056895752,0.02662614129927747,0.07590654825668529,0.5895044245844,-0.06212421459324175,-0.24880429496577333
inferiorparietal,0.5645832061635397,1.9059629869771828,-0.04543620651061431,-0.18534510646455682,-0.27749904181678636,-0.652072474452217,1.0777788524540322,-1.049588342370623,-0.6749481987721268,0.6807206847356101,0.8310562009791868,0.34890195242361083,0.3719703483841938,0.8221631857729015,0.483912453984382
inferiortemporal,0.07004795243224955,0.25069241522746144,-0.08438888980028625,-0.11353326508890611,-0.3192439410385667,-0.7980517196711895,1.1438597087669524,-1.0291196650947403,-0.332458302476863,1.8463072515056826,0.351364526634783,-0.12499497230565992,-0.014183723261019741,-0.0727080492119993,-0.042101713840670664
isthmuscingulate,-0.8238352906080381,2.9803518881182143,-0.09051606777707147,-0.010905819311038746,-1.3152209383657985,-0.8996962223371411,-0.7885138988276255,-2.0370699710433855,-0.22048995832263363,-0.6121010389443634,0.961198302287855,0.18763291201533105,-0.46887103019448967,-0.37016886888226586,0.5022830283270455
lateraloccipital,1.3167091560612147,0.08267677547196822,-0.8118116832970228,-0.386488255486382,1.413476599790608,-0.6011535287610237,0.47499009213127263,0.22076898646691695,-1.0328698404844425,1.896919438221598,-0.05107387349595141,0.6333154389714915,1.3420847828721258,0.8283891710527,-0.3390654657805757
